,season_number,startup_name,episode_number,pitch_number,air_date,industry,busniess_description,year_founded,presenter_count,male_presenter,female_presenters,trans_presenters,couple_presenter,pitchers_avg_age,pitcher_city,pitcher_state,yearly_revenue,monthly_sales,gross_margin,net_margin,cash_burn,sku,patents,finance_type,original_ask_amount,original_offered_equity,valueation_requested,received_offer,accepted_offer,deal_amount,deal_equity,deal_debt,debt_interest,deal_valuation,sharks_in_deal,namita_investment_amount,namita_investment_equtiy,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equtiy,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equtiy,anupam_debt_amount,aman_investment_amount,aman_investment_equtiy,aman_debt_amount,peyush_investment_amount,peyush_investment_equtiy,peyush_debt_amount,amit_investment_amount,amit_investment_equtiy,amit_debt_amount,ashneer_investment_amount,ashneer_investment_equtiy,ashneer_debt_amount,guest_investment_amount,guest_investment_equtiy,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,amit_present,ashneer_present,guest_present,multiple_pitcher_cities
11,1,Bummer,4,12,2021-12-23 00:00:00,Fashion,Underwear,2020.0,1,1.0,0.0,0.0,0.0,Young,Ahmedabad,Gujarat,36.0,15.0,70.0,0.0,0.0,0.0,0.0,3.0,75.0,4.0,1875.0,1,1.0,75.0,7.5,0.0,0.0,1000.0,2.0,37.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
12,1,RevampMoto,5,13,2021-12-24 00:00:00,Automobile,E-Bike Mitra bud-e RM,2021.0,3,3.0,0.0,0.0,0.0,Young,Nashik,Maharashtra,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.0,10000.0,1,1.0,100.0,1.5,0.0,0.0,6667.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.75,0.0,50.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
13,1,HungryHead,5,14,2021-12-24 00:00:00,Food,Restaurant serving 80 types of Maggi,2013.0,2,2.0,0.0,0.0,0.0,Middle,Mumbai,Maharashtra,0.0,5.5,0.0,0.0,0.0,80.0,0.0,3.0,50.0,5.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
14,1,ShrawaniEngineers,5,15,2021-12-24 00:00:00,Fashion,Belly Button Shaper,2019.0,2,1.0,1.0,0.0,1.0,Middle,Nagpur,Maharashtra,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,10.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
15,1,SkippiIcePops,6,16,2021-12-27 00:00:00,Food,Ice-Pops,2021.0,2,1.0,1.0,0.0,1.0,Middle,Hyderabad,Telangana,0.0,7.5,0.0,0.0,0.0,0.0,1.0,3.0,45.0,5.0,900.0,1,1.0,100.0,15.0,0.0,0.0,667.0,5.0,20.0,3.0,0.0,20.0,3.0,0.0,20.0,3.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
16,1,Menstrupedia,6,17,2021-12-27 00:00:00,Education,Menstrual Awareness Comic,2012.0,2,1.0,1.0,0.0,1.0,Middle,Ahmedabad,Gujarat,115.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,50.0,10.0,500.0,1,1.0,50.0,20.0,0.0,0.0,250.0,1.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
17,1,Hecoll,6,18,2021-12-27 00:00:00,Fashion,Pollution Resistant Fabric - Healthy Cover For All,2019.0,1,0.0,1.0,0.0,0.0,Middle,Hyderabad,Telangana,107.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.0,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
18,1,RaisingSuperstars,7,19,2021-12-28 00:00:00,Education,Child Development App,2020.0,2,1.0,1.0,0.0,1.0,Middle,Gurgaon,Haryana,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,2.0,5000.0,1,1.0,100.0,4.0,0.0,0.0,2500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
19,1,Torch-it,7,20,2021-12-28 00:00:00,Education,Gadgets for visually impaired people,2018.0,1,1.0,0.0,0.0,0.0,Middle,Ahmedabad,Gujarat,260.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,75.0,1.0,7500.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
20,1,Kavach,7,21,2021-12-28 00:00:00,Education,Report bullying incidents,2018.0,2,1.0,1.0,0.0,0.0,Young,Gurgaon,Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,50.0,1,1.0,5.0,10.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
21,1,LaKheerDeli,7,22,2021-12-28 00:00:00,Food,Kheer in variety of flavors,2018.0,3,1.0,2.0,0.0,0.0,Middle,Pune,Maharashtra,0.0,6.0,0.0,0.0,0.0,9.0,0.0,3.0,50.0,7.5,667.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
22,1,BeyondSnack,8,23,2021-12-29 00:00:00,Food,Kerala Banana Chips,2020.0,1,1.0,0.0,0.0,0.0,Middle,Thiruvananthapuram,Kerala,60.0,20.6,51.0,0.0,0.0,0.0,0.0,3.0,50.0,2.5,2000.0,1,1.0,50.0,2.5,0.0,0.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.25,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
23,1,VivalyfInnovations,8,24,2021-12-29 00:00:00,Healthcare,Easy Life Prickless Diabetes Testing Machine,2021.0,2,1.0,1.0,0.0,0.0,Young,Hyderabad,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.0,7.5,747.0,1,1.0,56.0,33.33,0.0,0.0,168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.66,0.0,0.0,0.0,0.0,28.0,16.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
24,1,MotionBreeze,8,25,2021-12-29 00:00:00,Automobile,Smart Electric Motorcycle,2018.0,4,4.0,0.0,0.0,0.0,Middle,Vadodara,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,30.0,3.0,1000.0,1,1.0,30.0,6.0,0.0,0.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
25,1,Altor,9,26,2021-12-30 00:00:00,Manufacturing,Smart Helmets,2019.0,4,4.0,0.0,0.0,0.0,Young,Kolkata,West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,5.0,1000.0,1,1.0,50.0,7.0,0.0,0.0,714.0,2.0,25.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
26,1,Ariro,9,27,2021-12-30 00:00:00,Manufacturing,Wooden Toys,2020.0,2,1.0,1.0,0.0,1.0,Young,Chennai,Tamil Nadu,300.0,25.0,50.0,0.0,0.0,0.0,0.0,3.0,50.0,2.5,2000.0,1,1.0,50.0,10.0,0.0,0.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
27,1,KabiraHandmad,9,28,2021-12-30 00:00:00,Food,Healthy Edible Oils dairy products spices flour,1998.0,2,1.0,1.0,0.0,1.0,Middle,Jaipur,Rajasthan,0.0,160.0,3.0,1.0,0.0,0.0,0.0,3.0,100.0,5.0,2000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
28,1,Nuutjob,10,29,2021-12-31 00:00:00,Fashion,Male Intimate Hygiene deo spray,2021.0,2,0.0,2.0,0.0,0.0,Young,Ahmedabad,Gujarat,0.0,0.002,70.0,0.0,0.0,0.0,0.0,3.0,25.0,5.0,500.0,1,1.0,25.0,20.0,0.0,0.0,125.0,3.0,8.33,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,6.66,0.0,8.33,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
29,1,Meatyour,10,30,2021-12-31 00:00:00,Food,Eggs,2020.0,3,3.0,0.0,0.0,0.0,Middle,Pune,Maharashtra,130.0,2.8,30.0,0.0,0.0,0.0,0.0,3.0,30.0,5.0,600.0,1,1.0,30.0,20.0,0.0,0.0,150.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.66,0.0,10.0,6.66,0.0,10.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
30,1,EventBeep,10,31,2021-12-31 00:00:00,Education,Student Community App EdTech,2019.0,3,2.0,1.0,0.0,0.0,Young,Pune,Maharashtra,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,2.0,1500.0,1,1.0,30.0,3.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
31,1,Gopal's56,11,32,2022-01-03 00:00:00,Food,Fiber Ice Cream,2014.0,1,1.0,0.0,0.0,0.0,Middle,Delhi,Delhi,80.0,33.0,21.0,0.0,0.0,0.0,0.0,3.0,30000.0,25.0,120000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
32,1,ARRCOATSurfaceTextures,11,33,2022-01-03 00:00:00,Manufacturing,Wall Building Surface Textures,2019.0,3,3.0,0.0,0.0,0.0,Middle,Delhi,Delhi,0.0,6.0,0.0,20.0,0.0,0.0,0.0,3.0,50.0,5.0,1000.0,1,1.0,50.0,15.0,0.0,0.0,333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
33,1,Farda,11,34,2022-01-03 00:00:00,Fashion,Customised Streetwear,2021.0,2,1.0,1.0,0.0,0.0,Young,Nagpur,Maharashtra,0.0,0.32,115.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,300.0,1,1.0,30.0,20.0,0.0,0.0,150.0,2.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
34,1,Auli,12,35,2022-01-04 00:00:00,Fashion,Ayurvedic Products Skincare Lifestyle,2017.0,1,0.0,1.0,0.0,0.0,Middle,Kolkata,West Bengal,250.0,16.0,80.0,10.0,0.0,0.0,0.0,3.0,75.0,4.0,1875.0,1,1.0,75.0,15.0,0.0,0.0,500.0,1.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
35,1,SweeDesi,12,36,2022-01-04 00:00:00,Food,Indian Sweets Online,2018.0,2,1.0,1.0,0.0,1.0,Middle,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,3.0,1333.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
36,1,LOKA,12,37,2022-01-04 00:00:00,Technology,Metaverse App,2020.0,1,1.0,0.0,0.0,0.0,Young,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,5.0,800.0,1,1.0,40.0,24.0,0.0,0.0,167.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,8.0,0.0,13.33,8.0,0.0,13.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
37,1,Annie,13,38,2022-01-05 00:00:00,Education,Thinkerbell labs Braille Literary Device,2016.0,4,3.0,1.0,0.0,1.0,Young,Bangalore,Karnataka,500.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,30.0,0.5,6000.0,1,1.0,105.0,3.0,0.0,0.0,3500.0,3.0,35.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
38,1,Carragreen,13,39,2022-01-05 00:00:00,Manufacturing,Eco-Friendly boxes,2018.0,2,0.0,2.0,0.0,0.0,Middle,Indore,Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,50.0,10.0,500.0,1,1.0,50.0,20.0,0.0,0.0,250.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
39,1,TheYarnBazaar,13,40,2022-01-05 00:00:00,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,2019.0,1,1.0,0.0,0.0,0.0,Middle,Mumbai,Maharashtra,180.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,2.0,2500.0,1,1.0,100.0,10.0,0.0,0.0,1000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,0.0,25.0,2.5,0.0,25.0,2.5,0.0,0.0,0.0,0.0,25.0,2.5,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
40,1,TheRenalProject,14,41,2022-01-06 00:00:00,Healthcare,Home Dialysis Treatment,2019.0,1,1.0,0.0,0.0,0.0,Middle,Mumbai,Maharashtra,300.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,3.0,3333.0,1,1.0,100.0,6.0,0.0,0.0,1667.0,2.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
41,1,MorrikoPureFoods,14,42,2022-01-06 00:00:00,Food,Healthy Food Snacks Kamdhenu foods,2018.0,3,2.0,1.0,0.0,0.0,Middle,Valsad,Gujarat,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,3.0,3333.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
42,1,GoodGoodPiggy,14,43,2022-01-06 00:00:00,Technology,Digital Piggy Bank,2021.0,2,0.0,2.0,0.0,0.0,Young,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,5.0,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
43,1,HammerLifestyle,15,44,2022-01-07 00:00:00,Electronics,Smart Audio Products,2019.0,3,3.0,0.0,0.0,0.0,Young,Panipat,Haryana,1000.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,30.0,3.0,1000.0,1,1.0,100.0,40.0,0.0,0.0,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
